program_id,program_name,program_name_ur,category,scope,province,implementing_agency,target_beneficiary,min_age,max_age,education_level,student_status_required,max_monthly_income_pkr,special_criteria,benefits_coverage,required_documents,application_steps,official_url,helpline
SN-SCH-01,Sindh Educational Endowment Fund (SEEF) Scholarship,سندھ ایجوکیشنل اینڈومنٹ فنڈ (سیف) اسکالرشپ,Scholarship,Province-Wise,Sindh,"College Education Department, Government of Sindh",Deserving and talented students holding Sindh domicile enrolled in higher education institutions,17,28,"Undergraduate / Postgraduate (BS, MBBS, BE, MBA/MS)",Yes,100000,"Sindh Domicile & PRC (Form C); enrolled in approved institutions in Medicine, Engineering, IT, Agriculture, Law, Business; minimum 60% or 2.5 CGPA; verified financial hardship",100% tuition fee and mandatory institutional charges paid directly to approved university for the academic year,Applicant CNIC / B-Form; Father/Guardian CNIC; Sindh Domicile and PRC (Form C); Previous semester transcript; University enrollment certificate; Income certificate / pay slip; Utility bills,Apply online at SEEF portal (seef.sindh.gov.pk) and submit hard copy dossier with attached documentation to the University Financial Aid Office.,https://seef.sindh.gov.pk/,021-99211221
SN-SCH-02,Sindh Higher Education Commission (SHEC) Indigenous Scholarships,سندھ ایچ ای سی مقامی اسکالرشپ,Scholarship,Province-Wise,Sindh,Sindh Higher Education Commission (SHEC),Meritorious postgraduate and doctoral scholars pursuing research in public universities in Sindh,22,40,Postgraduate (MPhil / PhD),Yes,Not income-tested,Sindh Domicile; enrolled in HEC-recognized public university in Sindh; clear aptitude test and research proposal review,"Full tuition fees + monthly stipend of PKR 25,000 for PhD scholars + thesis defense funding",Domicile & PRC; Academic degrees from Matric to MS; Research synopsis approved by Advanced Studies Board (ASRB); CNIC,Apply through SHEC online portal (shec.sindh.gov.pk) or through university directorate of research.,https://shec.sindh.gov.pk/,021-99244141
SN-SCH-03,STEVTA Sindh Free Technical Training & Vocational Education,سندھ ٹیوٹا مفت تکنیکی و پیشہ ورانہ تربیت,Vocational / Skills Training,Province-Wise,Sindh,Sindh Technical Education and Vocational Training Authority (STEVTA),"Youth in Sindh seeking practical employment skills in electrical, mechanical, IT, fashion design, and healthcare trades",16,35,Middle / Matric / Intermediate / Any,No,Not income-tested,Resident of Sindh holding CNIC/B-Form; basic literacy or Matric depending on course tier,Free training + tool usage + Sindh Board of Technical Education (SBTE) certification + stipend in donor-funded tracks,CNIC/B-Form; Educational certificates; 2 passport photos; Sindh domicile (if required),"Visit nearest STEVTA Vocational Training Institute (VTI) or polytechnic institute in Karachi, Hyderabad, Sukkur, etc.",https://stevta.gos.pk/,021-99244112
SN-FIN-01,Sindh Peoples Housing for Flood Affectees (SPHF) Reconstruction Grant,سندھ پیپلز ہاؤسنگ برائے سیلاب متاثرین گرانٹ,Financial Assistance / Housing Grant,Province-Wise,Sindh,"Sindh Peoples Housing for Flood Affectees (SPHF), Government of Sindh",Families whose houses were completely destroyed or severely damaged during devastating floods in Sindh,18,80,Any / None,No,Not income-tested,House damage verified through geo-tagged satellite/field survey; land title registered in woman head's name,"Direct cash grant of up to PKR 300,000 transferred in tranches into beneficiary bank/microfinance account for resilient house construction",NADRA CNIC of female head/applicant; Geo-tagged damage survey token; Proof of land ownership/certificate,Identified through door-to-door SPHF survey and verified at SPHF district facilitation centers.,https://sphf.gos.pk/,0800-77431
SN-FIN-02,Sindh Social Protection Authority (SSPA) Mother & Child Support Program,سندھ سوشل پروٹیکشن اتھارٹی ماں اور بچہ سپورٹ پروگرام,Financial Assistance / Maternal Health,Province-Wise,Sindh,"Sindh Social Protection Authority (SSPA), Government of Sindh",Pregnant and lactating mothers living in selected vulnerable rural districts of Sindh,18,45,Any / None,No,25000,"Resident of target rural districts in Sindh; attending mandatory prenatal, postnatal, and institutional birth services","Cash transfers up to PKR 30,000 phased across pregnancy, institutional delivery, birth registration, and 1,000 days growth monitoring",Mother's CNIC; Health center maternal passport / ANC card; Child birth registration certificate,Register at rural basic health units (BHUs) or Tehsil hospitals equipped with SSPA registration desks.,https://sspa.sindh.gov.pk/,021-99207568
SN-FIN-03,Sindh Zakat & Ushr Department Guzara Allowance,سندھ زکوٰۃ و عشر گزارہ الاؤنس,Financial Assistance / Zakat,Province-Wise,Sindh,"Zakat and Ushr Department, Government of Sindh","Needy Muslims, poor widows, disabled individuals, and orphans residing in Sindh",18,80,Any / None,No,25000,Muslim faith; certified as Mustahiq-e-Zakat by Local Zakat Committee (LZC); not receiving other regular government pensions,"Monthly cash stipend of PKR 1,500 - 2,000 disbursed through mobile money or post office accounts",Application on prescribed Zakat form; Valid CNIC copy; Local Zakat Committee verification; Death certificate of spouse (for widows),Submit completed application to the Chairman of the Local Zakat Committee in applicant's union council or ward.,https://zakat.sindh.gov.pk/,021-99206253
SN-HLT-01,Sindh Institute of Urology and Transplantation (SIUT) Free Specialized Healthcare,ایس آئی یو ٹی مفت گردہ و یورولوجی علاج,Health Support,Province-Wise,Sindh,Sindh Institute of Urology and Transplantation (SIUT) & Sindh Govt,"All patients requiring dialysis, kidney transplant, liver transplant, urological surgeries, and oncology treatment",0,100,Any / None,No,Not income-tested,"Open to all deserving patients regardless of race, religion, or background with zero charges ('Free Healthcare with Dignity')","100% free lifelong hemodialysis, kidney transplants, organ immunosuppressive drugs, cancer chemotherapy, and surgeries",Patient CNIC or B-Form; Medical history/referral documents; Attending guardian CNIC,"Walk into SIUT Karachi or regional outreach centers in Sukkur, Larkana; instant emergency triage and admission.",https://siut.org/,021-99215752
KP-HLT-01,Sehat Card Plus Khyber Pakhtunkhwa,صحت کارڈ پلس خیبر پختونخوا,Health Support,Province-Wise,Khyber Pakhtunkhwa (including merged tribal districts),"Health Department, Government of Khyber Pakhtunkhwa & State Life",All permanent resident families of Khyber Pakhtunkhwa (100% Universal Coverage),0,100,Any / None,No,Not income-tested,Permanent address of Khyber Pakhtunkhwa registered on NADRA CNIC; family registered in NADRA civil database,"Free cashless in-patient treatment up to PKR 1,000,000 per family per year covering secondary healthcare, cardiology, oncology, kidney transplant, neurosurgery, and intensive care across empanelled hospitals",Original NADRA CNIC of patient; Child NADRA B-Form for patients under 18; Family Registration Certificate (FRC),Verify family eligibility by SMS (send 13-digit CNIC to 8500 or 9700) or online at sehatcardplus.gov.pk. Present CNIC at Sehat Card counter in any empanelled hospital.,https://sehatcardplus.gov.pk/,0800-89898
KP-SCH-01,Khyber Pakhtunkhwa Educational Endowment Fund (KPEEF) Scholarship,خیبر پختونخوا ایجوکیشنل اینڈومنٹ فنڈ (کے پی ایف) اسکالرشپ,Scholarship,Province-Wise,Khyber Pakhtunkhwa,"Higher Education Department, Government of Khyber Pakhtunkhwa","Underprivileged, talented students holding KP domicile studying in approved colleges and universities",16,26,Undergraduate (BS / Professional Degrees),Yes,60000,KP domicile; passed Intermediate with minimum 60% marks; admitted on open merit in public institution,100% tuition fee coverage + annual stipend towards hostel and educational expenses,KPEEF Application Form; KP Domicile certificate; Intermediate result card; Father/Guardian income slip/affidavit; Fee receipt,Apply through the Financial Aid Office / Focal Person of the enrolled college/university.,https://hed.kp.gov.pk/,091-9210337
KP-SCH-02,KP Merged Areas (Former FATA) Students Higher Education Scholarships,فاٹا ضم شدہ اضلاع کے طلبہ کے لیے اعلیٰ تعلیمی اسکالرشپ,Scholarship,Province-Wise,Khyber Pakhtunkhwa (Merged Tribal Districts),Higher Education Department KP & Directorate of Merged Areas,"Students belonging to merged tribal districts (Bajaur, Khyber, Kurram, Mohmand, Orakzai, North/South Waziristan)",17,28,Undergraduate / Postgraduate,Yes,Not income-tested,Permanent domicile of erstwhile FATA tribal agencies/FRs; admitted in public universities across Pakistan on reserved seats,Full tuition fees + boarding charges + annual book stipend,Domicile of Merged District; CNIC/B-Form; SSC/HSSC marks cards; University enrollment letter,Apply through institutional financial aid desk or online via KP Higher Education portal.,https://hed.kp.gov.pk/,091-9210337
KP-SCH-03,KP-TEVTA Free Technical & Vocational Training,کے پی ٹیوٹا مفت تکنیکی تربیت کورسز,Vocational / Skills Training,Province-Wise,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa Technical Education & Vocational Training Authority (KP-TEVTA),"Youth in KP seeking industry-standard technical training in computing, electrical, civil, mechanical, and hospitality",16,35,Middle / Matric / Intermediate,No,Not income-tested,Resident of KP or merged districts; fulfilling academic prerequisites for chosen course,Free training + toolkits + trade certificate accredited by KP Trade Testing Board (TTB),CNIC/B-Form copy; School certificates; 2 photographs; KP domicile,Apply online at kptevta.gov.pk or directly at regional Government Technical Training Centers (GTTC).,https://kptevta.gov.pk/,091-5704267
KP-FIN-01,Khyber Pakhtunkhwa Workers Welfare Board Marriage Grant,خیبر پختونخوا ورکرز ویلفیئر بورڈ شادی گرانٹ,Financial Assistance,Province-Wise,Khyber Pakhtunkhwa,Workers Welfare Board (WWB) Khyber Pakhtunkhwa,Registered industrial workers in KP for the marriage of their daughters,18,65,Any / None,No,50000,Worker registered with KP Social Security (ESSI) or EOBI; at least 3 years service in industrial unit,"One-time financial grant of PKR 400,000 per daughter",Worker registration card; Employer certificate; Nikahnama; CNIC of worker and bride/groom,Submit application through industrial employer to KP Workers Welfare Board in Peshawar.,https://wwb.kp.gov.pk/,091-9213871
BL-SCH-01,Balochistan Educational Endowment Fund (BEEF) In-Province Scholarship,بلوچستان ایجوکیشنل اینڈومنٹ فنڈ (بیف) انٹرا پراونشل اسکالرشپ,Scholarship,Province-Wise,Balochistan,Balochistan Educational Endowment Fund (BEEF),Talented and deserving students holding Balochistan domicile enrolled in public colleges and universities in Balochistan,15,28,Intermediate / Undergraduate / Master,Yes,60000,Balochistan Local/Domicile Certificate; minimum 60% marks in previous annual exam; regular student,"Annual educational stipend ranging from PKR 30,000 to PKR 80,000 depending on degree level",Local/Domicile certificate; Student CNIC/B-Form; Marks certificates; Institutional verification; Income certificate,Submit BEEF application form through institutional scholarship committee in respective college/university.,https://beef.org.pk/,081-9202095
BL-SCH-02,BEEF Out-of-Province Premier Scholarships Scheme,بیف آؤٹ آف پراونس پریمیئر اسکالرشپ اسکیم,Scholarship,Province-Wise,Balochistan,Balochistan Educational Endowment Fund (BEEF),"Balochistan students securing admissions on merit in top-ranked national universities outside Balochistan (LUMS, NUST, GIKI, IBA, AKU, FAST, etc.)",17,26,Undergraduate (Bachelor / BS),Yes,Not income-tested,Balochistan Local/Domicile; secured admission on open merit in BEEF-designated Centers of Excellence outside Balochistan,100% full tuition fee + hostel accommodation charges + monthly subsistence stipend,Balochistan Local Certificate; University Admission Letter; Fee voucher; SSC & HSSC result cards; CNIC,Apply directly through BEEF online portal or through the Financial Aid Office of partner top-tier universities.,https://beef.org.pk/,081-9202095
BL-SCH-03,Balochistan TEVTA Free Technical Education Courses,بلوچستان ٹیوٹا مفت فنی تربیت,Vocational / Skills Training,Province-Wise,Balochistan,Balochistan Technical Education and Vocational Training Authority (B-TEVTA),"Youth in Balochistan seeking technical trades in mining, heavy machinery, solar electrical, plumbing, and IT",16,35,Middle / Matric / Any,No,Not income-tested,Local resident of Balochistan; willingness to complete vocational certification,Free training + free hostel in selected institutes + stipend + recognized trade diploma,Local/Domicile certificate; CNIC/B-Form; Educational marksheet; 2 photos,"Apply directly at regional technical training centers (TTC) in Quetta, Gwadar, Khuzdar, Loralai, Turbat.",https://btevta.gob.pk/,081-9213192
BL-FIN-01,Balochistan Zakat & Social Welfare Guzara Allowance,بلوچستان زکوٰۃ گزارہ الاؤنس,Financial Assistance / Zakat,Province-Wise,Balochistan,"Zakat and Ushr Department, Government of Balochistan","Poor, destitute individuals, widows, and disabled persons across districts of Balochistan",18,80,Any / None,No,25000,Muslim; certified as Mustahiq by Local Zakat Committee (LZC); resident of Balochistan,"Financial subsistence stipend of PKR 1,500 to PKR 2,000 per month",Application on Zakat form; CNIC copy; Local Zakat Committee endorsement; Widow death cert (if applicable),Submit to the Chairman of the Local Zakat Committee in respective village/tehsil in Balochistan.,https://balochistan.gov.pk/,081-9201503
AJK-HLT-01,AJK Sehat Sahulat Program (Universal Health Coverage),صحت سہولت پروگرام آزاد جموں و کشمیر,Health Support,Province-Wise,Azad Jammu & Kashmir,Department of Health AJK & State Life Insurance Corporation,100% permanent resident families of all 10 districts of Azad Jammu & Kashmir,0,100,Any / None,No,Not income-tested,State Subject / AJK permanent address registered on NADRA CNIC; universal family entitlement,"Cashless hospitalization coverage up to PKR 1,000,000 per family per year in empanelled hospitals across AJK and Pakistan",Original NADRA CNIC with AJK address; B-Form for children; Family Registration Certificate (FRC),Check eligibility via SMS (send CNIC to 8500) and present CNIC at hospital Sehat Sahulat counter.,https://www.pmhealthprogram.gov.pk/,0800-09009
AJK-SCH-01,AJK Technical Education & Vocational Training Authority (TEVTA) Free Courses,اے جے کے ٹیوٹا مفت فنی تربیتی کورسز,Vocational / Skills Training,Province-Wise,Azad Jammu & Kashmir,"AJK TEVTA, Government of AJK","Youth of Azad Kashmir seeking professional trades in IT, mechanical, electrical, tourism, and hospitality",16,35,Middle / Matric / Intermediate,No,Not income-tested,State Subject of AJK; clearance of admission aptitude interview,Free tuition + toolkits + trade certificate accredited by National and AJK testing bodies,State Subject Certificate; CNIC/B-Form; Educational certificates; 2 photographs,"Apply directly at vocational training centers in Muzaffarabad, Mirpur, Rawalakot, Kotli.",https://tevta.ajk.gov.pk/,05822-921477
